Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time.1,Moving Time,Distance.1,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate.1,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort.1,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute.1,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
2523462733,"Jul 11, 2019, 11:25:09 AM",Long ride,Ride,,16460,118.64,,,False,,Cannondale CAAD 12,activities/2523462733.gpx,69.0,8.300000190734863,16460.0,14230.0,118643.5,14.0,,701.4108276367188,,-4.099999904632568,45.09999847412109,11.699999809265137,0.0,,,,,,,,161.0709686279297,2555.62451171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6055913.0,,,,,,,,,,,,,,,,,,,,,,,,,
2528287604,"Jul 13, 2019, 10:23:33 AM",Chill Ride to Flensburg,Ride,,8414,67.46,,,False,,Cannondale CAAD 12,activities/2528287604.gpx,69.0,8.300000190734863,8414.0,7351.0,67464.6015625,15.5,,474.3521728515625,,-1.0,62.5,12.399999618530272,-0.0005929035251028,,,,,,,,196.18931579589844,1608.0391845703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6055913.0,,,,,,,,,,,,,,,,,,,,,,,,,
2534919677,"Jul 15, 2019, 5:17:06 PM",Short ride with 3 x 8 intervals @ 30sec max effort/30sec light paddling with 4 min rest in between,Ride,,4632,42.97,,,False,,Cannondale CAAD 12,activities/2534919677.gpx,69.0,8.300000190734863,4632.0,4627.0,42978.30078125,14.199999809265137,,214.76901245117188,,0.0,34.599998474121094,5.099999904632568,0.0265250131487846,,,,,,,,193.65821838378903,999.1030883789062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6055913.0,,,,,,,,,,,,,,,,,,,,,,,,,
2545210349,"Jul 19, 2019, 8:53:47 AM",Long ride,Ride,,14586,113.50,,,False,,Cannondale CAAD 12,activities/2545210349.gpx,69.0,8.300000190734863,14586.0,13274.0,113505.3984375,11.800000190734863,,481.4295654296875,,25.600000381469727,103.6999969482422,7.900000095367432,0.0,,,,,,,,157.67022705078125,2333.599853515625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6055913.0,,,,,,,,,,,,,,,,,,,,,,,,,
2554698740,"Jul 22, 2019, 5:24:15 PM",Easy ride to a restaurant,Ride,,14135,51.06,,,False,,Cannondale CAAD 12,activities/2554698740.gpx,69.0,8.300000190734863,14135.0,10646.0,51067.19921875,12.5,,253.43197631835935,,0.1000000014901161,47.20000076293945,9.399999618530272,0.0007832816336303,,,,,,,,57.5389518737793,683.0040283203125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6055913.0,,,,,,,,,,,,,,,,,,,,,,,,,
2555737109,"Jul 23, 2019, 7:56:49 AM",Threshold expansion,Ride,,3721,36.29,,,False,,Cannondale CAAD 12,activities/2555737109.gpx,69.0,8.300000190734863,3721.0,3721.0,36291.1015625,14.100000381469728,,174.83035278320312,,0.0,34.599998474121094,6.699999809265137,0.0311371106654405,,,,,,,,209.5096740722656,869.2378540039062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6055913.0,,,,,,,,,,,,,,,,,,,,,,,,,
2566863475,"Jul 27, 2019, 9:52:54 AM","25min warmup - 10min effort - 20min spinning - 8x30sec sprint/30sec paddling - 20min spinning - 1,5km effort - cool down",Ride,,5733,52.41,,,False,,Cannondale CAAD 12,activities/2566863475.gpx,69.0,8.300000190734863,5733.0,5732.0,52414.1015625,17.0,,319.08917236328125,,4.800000190734863,66.5999984741211,11.399999618530272,-0.001526306848973,,,,,,,,188.35926818847656,1203.8380126953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6055913.0,,,,,,,,,,,,,,,,,,,,,,,,,
2576036619,"Jul 30, 2019, 3:33:12 PM",Felt like absolut dirt but what can you do...race is in two weeks,Ride,,4056,37.86,,,False,,Cannondale CAAD 12,activities/2576036619.gpx,69.0,8.300000190734863,4056.0,4044.0,37866.80078125,14.5,,224.63548278808597,,4.800000190734863,70.80000305175781,9.399999618530272,-0.0007922507356852,,,,,,,,198.3134002685547,894.20703125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6055913.0,,,,,,,,,,,,,,,,,,,,,,,,,
2581937093,"Aug 1, 2019, 3:27:25 PM",Still feeling like absolut garbage.,Ride,,7158,60.67,,,False,,Cannondale CAAD 12,activities/2581937093.gpx,69.0,8.300000190734863,7158.0,7158.0,60674.6015625,13.899999618530272,,333.77349853515625,,4.800000190734863,70.80000305175781,9.300000190734863,0.0001648136094445,,,,,,,,152.5146026611328,1217.2449951171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6055913.0,,,,,,,,,,,,,,,,,,,,,,,,,
2589405535,"Aug 4, 2019, 8:55:37 AM",Radfahrt am Morgen,Ride,,5832,52.70,,,False,,Cannondale CAAD 12,activities/2589405535.gpx,69.0,8.300000190734863,5832.0,5832.0,52699.3984375,13.300000190734863,,235.5735015869141,,-2.299999952316284,34.599998474121094,5.400000095367432,0.0017077993834391,,,,,,,,173.08180236816406,1125.49560546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6055913.0,,,,,,,,,,,,,,,,,,,,,,,,,
